Participant,Condition,Question,Answer
10_15_16_23_26,GlissandoF,Answer3,0.4
10_15_16_23_26,GlissandoF,Answer4,9.5
10_15_16_23_26,GlissandoF,Answer5,0.4
10_15_16_23_26,GlissandoF,Answer6,9.5
10_15_16_14_50,GlissandoM,Answer1,7.8
10_15_16_14_50,GlissandoM,Answer2,8.4
10_15_16_14_50,GlissandoM,Answer3,1.7
10_15_16_14_50,GlissandoM,Answer4,9.8
10_15_16_14_50,GlissandoM,Answer5,0.1
10_15_16_14_50,GlissandoM,Answer6,2.8
10_15_15_43_24,Silenzio,Answer1,6.5
10_15_15_43_24,Silenzio,Answer2,7.5
10_15_15_43_24,Silenzio,Answer3,2.2
10_15_15_43_24,Silenzio,Answer4,8.5
10_15_15_43_24,Silenzio,Answer5,1.7
10_15_15_43_24,Silenzio,Answer6,2.4
10_15_15_17_56,Silenzio,Answer1,2.8
10_15_15_17_56,Silenzio,Answer2,2.7
10_15_15_17_56,Silenzio,Answer3,0
10_15_15_17_56,Silenzio,Answer4,10
10_15_15_17_56,Silenzio,Answer5,0
10_15_15_17_56,Silenzio,Answer6,0
10_15_14_43_39,GlissandoM,Answer1,5.1
10_15_14_43_39,GlissandoM,Answer2,5.2
10_15_14_43_39,GlissandoM,Answer3,5
10_15_14_43_39,GlissandoM,Answer4,7.9
10_15_14_43_39,GlissandoM,Answer5,7.5
10_15_14_43_39,GlissandoM,Answer6,3.5
10_15_14_27_13,GlissandoS,Answer1,8.7
10_15_14_27_13,GlissandoS,Answer2,8.9
10_15_14_27_13,GlissandoS,Answer3,4.5
10_15_14_27_13,GlissandoS,Answer4,9.1
10_15_14_27_13,GlissandoS,Answer5,4.5
10_15_14_27_13,GlissandoS,Answer6,2.5
10_14_17_50_47,Silenzio,Answer1,5.5
10_14_17_50_47,Silenzio,Answer2,6.5
10_14_17_50_47,Silenzio,Answer3,3.2
10_14_17_50_47,Silenzio,Answer4,7.3
10_14_17_50_47,Silenzio,Answer5,2.2
10_14_17_50_47,Silenzio,Answer6,1
10_14_15_42_19,GlissandoF,Answer1,7.1
10_14_15_42_19,GlissandoF,Answer2,7.2
10_14_15_42_19,GlissandoF,Answer3,1.7
10_14_15_42_19,GlissandoF,Answer4,8.8
10_14_15_42_19,GlissandoF,Answer5,1.7
10_14_15_42_19,GlissandoF,Answer6,5.8
10_13_15_5_39,GlissandoS,Answer1,9.2
10_13_15_5_39,GlissandoS,Answer2,6.3
10_13_15_5_39,GlissandoS,Answer3,2
10_13_15_5_39,GlissandoS,Answer4,9.5
10_13_15_5_39,GlissandoS,Answer5,0.1
10_13_15_5_39,GlissandoS,Answer6,7.8
10_13_15_29_56,GlissandoM,Answer1,5.5
10_13_15_29_56,GlissandoM,Answer2,2.8
10_13_15_29_56,GlissandoM,Answer3,6.6
10_13_15_29_56,GlissandoM,Answer4,7.2
10_13_15_29_56,GlissandoM,Answer5,2.7
10_13_15_29_56,GlissandoM,Answer6,7.3
10_13_10_31_15,Silenzio,Answer1,7.6
10_13_10_31_15,Silenzio,Answer2,6.3
10_13_10_31_15,Silenzio,Answer3,0.8
10_13_10_31_15,Silenzio,Answer4,8.4
10_13_10_31_15,Silenzio,Answer5,0.9
10_13_10_31_15,Silenzio,Answer6,0.8
