Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
27,901205637,Glissando,DoubleFlip,0,5,0,915210334,DoubleFlipR,0,5,0,0,10,0,, 
27,901205910,Glissando,FlickDown,0,5,0,915210551,FlickDown,1,5,0.166666667,1,10,0.090909091,,
27,901205205,Glissando,FlickLeft,1,5,0.166666667,915205945,FlickLeft,6,0,1,7,5,0.583333333,,
27,901205758,Glissando,FlickRight,0,5,0,915210424,FlickRight,3,5,0.375,3,10,0.230769231,,
27,901205534,Glissando,FlickUp,0,5,0,915210239,FlickUp,0,5,0,0,10,0,,
27,901205534,Glissando,ALL,1,25,0.038461538,915210239,FlickUp,10,20,0.333333333,11,45,0.196428571,,
48,912041858,Glissando,DoubleFlip,0,5,0,917234843,DoubleFlipR,0,5,0,0,10,0,,
48,912042049,Glissando,FlickDown,0,5,0,917235057,FlickDown,0,5,0,0,10,0,,
48,912041542,Glissando,FlickLeft,0,5,0,917234505,FlickLeft,9,0,1,9,5,0.642857143,,
48,912042001,Glissando,FlickRight,0,5,0,917234932,FlickRight,12,0,1,12,5,0.705882353,,
48,912041801,Glissando,FlickUp,0,5,0,917234752,FlickUp,0,5,0,0,10,0,,
48,912041801,Glissando,ALL,0,25,0,915210239,FlickUp,21,15,0.583333333,21,40,0.344262295,,
